Year,PMID,Title,Species,Genome_Build,Chromosome,Start,End,TF,Target_Gene,Type(Enhancer_or_SE),Regulatory_State(Active/Silenced),Condition(Disease/Normal),Disease_Name,MONDO,DOID,Tissue,Tissue Ontology_ID,Cell_Source,CVCL_ID,Cell_Type,Cell Ontology_ID,Experiment_Type,High_Throughput_Method,Low_Throughput_Method
2023,37567873,Spinal cord repair is modulated by the neurogenic factor Hb-egf under direction of a regeneration-associated enhancer,Danio rerio,GRCz11,chr14,6760805,6761115,,hbegfa,Enhancer,Active,Normal,None,NA,NA,Spinal cord,UBERON:0002240,ependymo-radial glial cell,NA,radial glial cell,CL:0000681,Enhancer activity assay,ATAC-seq; RNA-seq; scRNA-seq,Transgenic Reporter Assay; CRISPR Knockout; in situ hybridization; qRT-PCR
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr9,31332828,31334322,,egfp,Enhancer,Active,Normal,None,NA,NA,Brain,UBERON:0000955,neuron,NA,neuron,CL:0000540,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr8,44088636,44090085,,egfp,Enhancer,Active,Normal,None,NA,NA,Brain,UBERON:0000955,neuron,NA,neuron,CL:0000540,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr5,49025012,49026815,,egfp,Enhancer,Active,Normal,None,NA,NA,Heart,UBERON:0000948,cardiomyocyte,NA,cardiomyocyte,CL:0000746,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr7,7439474,7441474,,egfp,Enhancer,Active,Normal,None,NA,NA,Heart,UBERON:0000948,cardiomyocyte,NA,cardiomyocyte,CL:0000746,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr23,5735883,5736938,,egfp,Enhancer,Active,Normal,None,NA,NA,Heart,UBERON:0000948,cardiomyocyte,NA,cardiomyocyte,CL:0000746,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr7,18138313,18139545,,egfp,Enhancer,Active,Normal,None,NA,NA,Heart,UBERON:0000948,cardiomyocyte,NA,cardiomyocyte,CL:0000746,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr1,47366207,47368074,,egfp,Enhancer,Active,Normal,None,NA,NA,Heart,UBERON:0000948,cardiomyocyte,NA,cardiomyocyte,CL:0000746,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr8,2567791,2569300,,egfp,Enhancer,Active,Normal,None,NA,NA,Heart,UBERON:0000948,cardiomyocyte,NA,cardiomyocyte,CL:0000746,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr25,17938108,17939563,,egfp,Enhancer,Active,Normal,None,NA,NA,Kidney,UBERON:0002113,embryonic kidney cell,NA,embryonic kidney cell,NA,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr5,61665365,61667095,,egfp,Enhancer,Active,Normal,None,NA,NA,Kidney,UBERON:0002113,embryonic kidney cell,NA,embryonic kidney cell,NA,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr25,17939264,17940252,,egfp,Enhancer,Active,Normal,None,NA,NA,Kidney,UBERON:0002113,embryonic kidney cell,NA,embryonic kidney cell,NA,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr6,43661350,43663650,,egfp,Enhancer,Active,Normal,None,NA,NA,Brain,UBERON:0000955,neuron,NA,neuron,CL:0000540,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr1,19433791,19434807,,egfp,Enhancer,Active,Normal,None,NA,NA,Skeletal muscle,UBERON:0001134,embryonic myocyte,NA,embryonic myocyte,CL:0000187,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr1,7624913,7626890,,egfp,Enhancer,Active,Normal,None,NA,NA,Skeletal muscle,UBERON:0001134,embryonic myocyte,NA,embryonic myocyte,CL:0000187,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2020,33239788,A map of cis-regulatory elements and 3D genome structures in zebrafish,Danio rerio,GRCz11,chr6,99012350,99015100,,egfp,Enhancer,Active,Normal,None,NA,NA,Skeletal muscle,UBERON:0001134,embryonic myocyte,NA,embryonic myocyte,CL:0000187,Enhancer activity assay,ChIP-seq; ATAC-seq,Transgenic Reporter Assay
2022,36284357,CRISPR-Cas9-mediated functional dissection of the foxc1 genomic region in zebrafish identifies critical conserved cis-regulatory elements,Danio rerio,GRCz11,chr2,716946,717020,,foxf2a,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,embryonic cell,NA,embryonic cell,NA,Functional perturbation assay,,CRISPR Knockout; qRT-PCR
2022,36284357,CRISPR-Cas9-mediated functional dissection of the foxc1 genomic region in zebrafish identifies critical conserved cis-regulatory elements,Danio rerio,GRCz11,chr20,26689284,26689441,,foxf2b,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,embryonic cell,NA,embryonic cell,NA,Functional perturbation assay,,CRISPR Knockout; qRT-PCR
