gene_chr	gene_chr_start	gene_chr_end	ENSG	gene_id	gene_type	strand	promoter_chr	promoter_chr_start	promoter_chr_end	promoter_id	enhancer_chr	enhancer_chr_start	enhancer_chr_end	enhancer_id	reads_count	P-value	cell_line	methods
chr7	151832010	152133090	ENSG00000055609.13	KMT2C	protein_coding	-	chr7	152127884	152144628	K562_MPT_12180	chr22	17066736	17097786	K562_SE_431	539	0.00e+2	K562	RIC-seq
chr7	152133980	152140272	ENSG00000241735.1	FABP5P3	pseudogene	+	chr7	152127884	152144628	K562_MPT_12180	chr22	17066736	17097786	K562_SE_431	539	0.00e+2	K562	RIC-seq
chr7	152136306	152136393	ENSG00000221454.1	AC005631.1	miRNA	+	chr7	152127884	152144628	K562_MPT_12180	chr22	17066736	17097786	K562_SE_431	539	0.00e+2	K562	RIC-seq
chr20	29611857	29634010	ENSG00000149531.10	FRG1B	protein_coding	+	chr20	29606857	29616879	K562_MPT_8106	chr9	68446876	68456536	K562_TE_21980	415	0.00e+2	K562	RIC-seq
chr19	47421933	47508334	ENSG00000160007.13	ARHGAP35	protein_coding	+	chr19	47416933	47426933	K562_MPT_6842	chr19	47359889	47372725	K562_TE_10762	397	0.00e+2	K562	RIC-seq
chr15	69070874	69113236	ENSG00000140350.11	ANP32A	protein_coding	-	chr15	69108225	69118234	K562_MPT_4377	chr7	102608372	102634363	K562_SE_658	384	0.00e+2	K562	RIC-seq
chr1	148555979	148596267	ENSG00000243452.3	NBPF15	protein_coding	+	chr1	148555843	148565990	K562_MPT_852	chr1	144593385	144604459	K562_TE_1347	319	0.00e+2	K562	RIC-seq
chr9	44997777	44999352	ENSG00000204805.7	FAM27E4	pseudogene	+	chr9	44985314	45009879	K562_MPT_12846	chr9	44875058	44880467	K562_TE_21948	300	0.00e+2	K562	RIC-seq
chr9	45001907	45003117	ENSG00000235659.1	RP11-374M1.5	lncRNA	-	chr9	44985314	45009879	K562_MPT_12846	chr9	44875058	44880467	K562_TE_21948	300	0.00e+2	K562	RIC-seq
chr9	44990314	44991483	ENSG00000154537.4	FAM27C	protein_coding	+	chr9	44985314	45009879	K562_MPT_12846	chr9	44875058	44880467	K562_TE_21948	300	0.00e+2	K562	RIC-seq
chr9	45004879	45023236	ENSG00000223379.1	RP11-374M1.4	lncRNA	+	chr9	44985314	45009879	K562_MPT_12846	chr9	44875058	44880467	K562_TE_21948	300	0.00e+2	K562	RIC-seq
chr19	928257	928817	ENSG00000267159.1	AC005391.2	lncRNA	-	chr19	908231	933817	K562_MPT_6176	chr19	900055	908556	K562_TE_10188	255	0.00e+2	K562	RIC-seq
chr19	896503	913240	ENSG00000198858.5	R3HDM4	protein_coding	-	chr19	908231	933817	K562_MPT_6176	chr19	900055	908556	K562_TE_10188	255	0.00e+2	K562	RIC-seq
chr19	925781	975939	ENSG00000116017.6	ARID3A	protein_coding	+	chr19	908231	933817	K562_MPT_6176	chr19	900055	908556	K562_TE_10188	255	0.00e+2	K562	RIC-seq
chr19	917287	921015	ENSG00000116014.5	KISS1R	protein_coding	+	chr19	908231	933817	K562_MPT_6176	chr19	900055	908556	K562_TE_10188	255	0.00e+2	K562	RIC-seq
chr8	126934552	126963493	ENSG00000245164.2	LINC00861	lncRNA	-	chr8	126958394	126968493	K562_MPT_12613	chr8	126937450	126959759	K562_TE_21586	244	0.00e+2	K562	RIC-seq
chr15	28560798	28561102	ENSG00000256338.1	RPL41P2	pseudogene	+	chr15	28555798	28572298	K562_MPT_4117	chr15	28833961	28837697	K562_TE_7042	228	0.00e+2	K562	RIC-seq
chr15	28356186	28567298	ENSG00000128731.11	HERC2	protein_coding	-	chr15	28555798	28572298	K562_MPT_4117	chr15	28833961	28837697	K562_TE_7042	228	0.00e+2	K562	RIC-seq
