Year,PMID,Title,Species,Genome_Build,Chromosome,Start,End,TF,Target_Gene,Type(Enhancer_or_SE),Regulatory_State(Active/Silenced),Condition(Disease/Normal),Disease_Name,MONDO,DOID,Tissue,Tissue Ontology_ID,Cell_Source,CVCL_ID,Cell_Type,Cell Ontology_ID,Experiment_Type,High_Throughput_Method,Low_Throughput_Method
2024,39362902,Developmental and housekeeping transcriptional programs display distinct modes of enhancer-enhancer cooperativity in Drosophila,Drosophila melanogaster,dm6,chr2L,1000000,1000300,,NA,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,S2 cell,CVCL_TZ72,late embryonic Drosophila melanogaster cell,CL:0007006,Enhancer activity assay,STARR-seq,Luciferase Reporter Assay
2024,39362902,Developmental and housekeeping transcriptional programs display distinct modes of enhancer-enhancer cooperativity in Drosophila,Drosophila melanogaster,dm6,chr2L,1001000,1001300,,RpS12,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,S2 cell,CVCL_TZ72,late embryonic Drosophila melanogaster cell,CL:0007006,Enhancer activity assay,STARR-seq,Luciferase Reporter Assay
2020,32342858,Disparate expression specificities coded by a shared Hox-C enhancer,Drosophila melanogaster,dm6,chr3R,7795000,7796400,exd,pb,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,embryonic cell,NA,embryonic cell,NA,Enhancer activity assay; TF binding assay; Functional perturbation assay,ChIP-seq; RNA-seq,Transgenic Reporter Assay; CRISPR Knockout; RT-qPCR; In situ hybridization
2020,32342858,Disparate expression specificities coded by a shared Hox-C enhancer,Drosophila melanogaster,dm6,chr3R,7795000,7796400,exd,zen2,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,embryonic cell,NA,embryonic cell,NA,Enhancer activity assay; TF binding assay; Functional perturbation assay,ChIP-seq; RNA-seq,Transgenic Reporter Assay; CRISPR Knockout; RT-qPCR; In situ hybridization
2020,33057197,Dense and pleiotropic regulatory information in a developmental enhancer,Drosophila melanogaster,dm6,chr2R,10788877,10789168,hth,svb,lacZ,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,embryonic epithelial cell,NA,embryonic epithelial cell,NA,Enhancer activity assay; TF binding assay; Functional perturbation assay,RNA-seq,Transgenic Reporter Assay; ChIP-qPCR; CRISPR Knockout; RT-qPCR; Western blot; EMSA
2023,38086419,Cell type directed design of synthetic enhancers,Drosophila melanogaster,dm6,chr3L,8670850,8671350,,NA,Enhancer,Active,Normal,None,NA,NA,Brain,UBERON:0000955,Kenyon cell,NA,Kenyon cell,CL:0000523,Enhancer activity assay,ATAC-seq,Transgenic Reporter Assay
2020,32541043,Regulation of spatiotemporal limits of developmental gene expression via enhancer grammar,Drosophila melanogaster,dm6,chr2R,5208000,5208523,,T48,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,nc14 embryo,NA,embryonic cell,NA,Enhancer activity assay; Functional perturbation assay,RNA-seq,Transgenic Reporter Assay; RT-qPCR
2018,30038397,Dynamic interplay between enhancer-promoter topology and gene activity,Drosophila melanogaster,dm6,chr2R,9974054,9974699,,eve,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,blastoderm cell,NA,embryonic cell,NA,Enhancer activity assay; Chromatin interaction assay; Functional perturbation assay,,qRT-PCR; ChIP-qPCR
2018,30038397,Dynamic interplay between enhancer-promoter topology and gene activity,Drosophila melanogaster,dm6,chr2R,9975013,9975699,,eve,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,blastoderm cell,NA,embryonic cell,NA,Enhancer activity assay; Chromatin interaction assay; Functional perturbation assay,,qRT-PCR; ChIP-qPCR
2018,30038397,Dynamic interplay between enhancer-promoter topology and gene activity,Drosophila melanogaster,dm6,chr2R,9984101,9984849,,eve,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,blastoderm cell,NA,embryonic cell,NA,Enhancer activity assay; Chromatin interaction assay; Functional perturbation assay,,qRT-PCR; ChIP-qPCR
2018,30038397,Dynamic interplay between enhancer-promoter topology and gene activity,Drosophila melanogaster,dm6,chr2R,9985221,9985886,,eve,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,blastoderm cell,NA,embryonic cell,NA,Enhancer activity assay; Chromatin interaction assay; Functional perturbation assay,,qRT-PCR; ChIP-qPCR
2019,31223115,Dissecting the sharp response of a canonical developmental enhancer reveals multiple sources of cooperativity,Drosophila melanogaster,dm6,chr3,4669900,4670243,,hb,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,blastoderm embryo,NA,embryonic cell,NA,Enhancer activity assay,,Transgenic Reporter Assay
2019,32541043,Regulation of spatiotemporal limits of developmental gene expression via enhancer grammar,Drosophila melanogaster,dm6,chr3R,26880000,26880523,,CG5507,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,embryo,NA,embryonic cell,NA,Enhancer activity assay; Functional perturbation assay,,Transgenic Reporter Assay; RT-qPCR
2020,31340149,Distinct Roles of Broadly Expressed Repressors Support Dynamic Enhancer Action and Change in Time,Drosophila melanogaster,dm6,chrX,18719542,18720191,Su(H),sog,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,blastoderm embryo,NA,embryonic cell,NA,Enhancer activity assay; TF binding assay,,Transgenic Reporter Assay; ChIP-qPCR
2020,31340149,Distinct Roles of Broadly Expressed Repressors Support Dynamic Enhancer Action and Change in Time,Drosophila melanogaster,dm6,chrX,18741042,18741691,Su(H),sog,Enhancer,Active,Normal,None,NA,NA,Embryo,UBERON:0000922,blastoderm embryo,NA,embryonic cell,NA,Enhancer activity assay; TF binding assay,,Transgenic Reporter Assay; ChIP-qPCR
2023,38086419,Cell type directed design of synthetic enhancers,Drosophila melanogaster,dm6,chrX,15547650,15548150,,NA,Enhancer,Active,Normal,None,NA,NA,Brain,UBERON:0000955,Kenyon cell,NA,Kenyon cell,CL:0000523,Enhancer activity assay,ATAC-seq,Transgenic Reporter Assay
2023,38086419,Cell type directed design of synthetic enhancers,Drosophila melanogaster,dm6,chrX,4010500,4011000,,NA,Enhancer,Active,Normal,None,NA,NA,Brain,UBERON:0000955,Kenyon cell,NA,Kenyon cell,CL:0000523,Enhancer activity assay,ATAC-seq,Transgenic Reporter Assay
2023,38086419,Cell type directed design of synthetic enhancers,Drosophila melanogaster,dm6,chrX,9786300,9786800,,NA,Enhancer,Active,Normal,None,NA,NA,Brain,UBERON:0000955,Kenyon cell,NA,Kenyon cell,CL:0000523,Enhancer activity assay,ATAC-seq,Transgenic Reporter Assay
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chrX,534837,535834,Ey,Appl,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chrX,534837,535834,toy,Appl,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chrX,534837,535834,Onecut,Appl,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chrX,534837,535834,Mamo,Appl,Enhancer,Silenced,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chr3L,9193218,9194041,Ey,Rdl,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chr3L,9193218,9194041,Mef2,Rdl,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chrX,18554916,18555296,Ey,Bx,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chrX,18554916,18555296,Mef2,Bx,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chrX,18554916,18555296,Onecut,Bx,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chrX,18554916,18555296,Sr,Bx,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chrX,18554916,18555296,Mamo,Bx,Enhancer,Silenced,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chrX,18554916,18555296,Lola-PF,Bx,Enhancer,Silenced,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chr3R,16286178,16286811,Ey,gish,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chr3R,16286178,16286811,Mef2,gish,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chr3R,16286178,16286811,Onecut,gish,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chr2R,16905793,16906591,Ey,Pkc53E,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chr2R,16905793,16906591,toy,Pkc53E,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chr2R,16905793,16906591,Onecut,Pkc53E,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
2022,34987221,Decoding gene regulation in the fly brain,Drosophila melanogaster,dm6,chr2L,20040500,20041072,Ey,sNPF,Enhancer,Active,Normal,NA,NA,NA,brain,UBERON:0002600,NA,NA,gamma Kenyon cell,CL:0000669,in vivo reporter assay,NA,Enhancer-GFP reporter; site-directed mutagenesis
