enhancer_chr,enhancer_chr_start,enhancer_chr_end,enhancer_id,promoter_chr,promoter_chr_start,promoter_chr_end,promoter_id,ENSG,gene_id,gene_type,reads_count,P-value,cell_line,methods
chr22,17066736,17097786,K562_SE_431,chr7,152127884,152144628,K562_MPT_12180,ENSG00000055609.13,KMT2C,protein_coding,539,0.0,K562,RIC-seq
chr9,68446876,68456536,K562_TE_21980,chr20,29606857,29616879,K562_MPT_8106,ENSG00000149531.10,FRG1B,protein_coding,415,0.0,K562,RIC-seq
chr19,47359889,47372725,K562_TE_10762,chr19,47416933,47426933,K562_MPT_6842,ENSG00000160007.13,ARHGAP35,protein_coding,397,0.0,K562,RIC-seq
chr7,102608372,102634363,K562_SE_658,chr15,69108225,69118234,K562_MPT_4377,ENSG00000140350.11,ANP32A,protein_coding,384,0.0,K562,RIC-seq
chr1,144593385,144604459,K562_TE_1347,chr1,148555843,148565990,K562_MPT_852,ENSG00000243452.3,NBPF15,protein_coding,319,0.0,K562,RIC-seq
chr9,44875058,44880467,K562_TE_21948,chr9,44985314,45009879,K562_MPT_12846,ENSG00000204805.7,FAM27E4,pseudogene,300,0.0,K562,RIC-seq
chr19,900055,908556,K562_TE_10188,chr19,908231,933817,K562_MPT_6176,ENSG00000267159.1,AC005391.2,lncRNA,255,0.0,K562,RIC-seq
chr8,126937450,126959759,K562_TE_21586,chr8,126958394,126968493,K562_MPT_12613,ENSG00000245164.2,LINC00861,lncRNA,244,0.0,K562,RIC-seq
chr15,28833961,28837697,K562_TE_7042,chr15,28555798,28572298,K562_MPT_4117,ENSG00000256338.1,RPL41P2,pseudogene,228,0.0,K562,RIC-seq
chr2,133094911,133105350,K562_TE_12065,chr19,44855826,44865834,K562_MPT_6787,ENSG00000062370.12,ZNF112,protein_coding,208,0.0,K562,RIC-seq
chr5,84933881,84944654,K562_TE_17293,chr5,84925230,84935230,K562_MPT_10366,ENSG00000265704.1,AC010595.1,miRNA,204,0.0,K562,RIC-seq
