pair_id,enhancer_chr,enhancer_chr_start,enhancer_chr_end,enhancer_id,promoter_chr,promoter_chr_start,promoter_chr_end,promoter_id,ENSG,gene_id,gene_type,reads_count,P-value,cell_line,methods,interaction_type
K562_EP_0001,chr19,47359889,47372725,K562_TE_10762,chr19,47416933,47426933,K562_MPT_6842,ENSG00000160007.13,ARHGAP35,protein_coding,397,0.0,K562,RIC-seq,cis_same_chromosome
K562_EP_0002,chr1,144593385,144604459,K562_TE_1347,chr1,148555843,148565990,K562_MPT_852,ENSG00000243452.3,NBPF15,protein_coding,319,0.0,K562,RIC-seq,cis_same_chromosome
K562_EP_0003,chr9,44875058,44880467,K562_TE_21948,chr9,44985314,45009879,K562_MPT_12846,ENSG00000204805.7,FAM27E4,pseudogene,300,0.0,K562,RIC-seq,cis_same_chromosome
K562_EP_0004,chr19,900055,908556,K562_TE_10188,chr19,908231,933817,K562_MPT_6176,ENSG00000267159.1,AC005391.2,lncRNA,255,0.0,K562,RIC-seq,cis_same_chromosome
K562_EP_0005,chr8,126937450,126959759,K562_TE_21586,chr8,126958394,126968493,K562_MPT_12613,ENSG00000245164.2,LINC00861,lncRNA,244,0.0,K562,RIC-seq,cis_same_chromosome
K562_EP_0006,chr15,28833961,28837697,K562_TE_7042,chr15,28555798,28572298,K562_MPT_4117,ENSG00000256338.1,RPL41P2,pseudogene,228,0.0,K562,RIC-seq,cis_same_chromosome
K562_EP_0007,chr5,84933881,84944654,K562_TE_17293,chr5,84925230,84935230,K562_MPT_10366,ENSG00000265704.1,AC010595.1,miRNA,204,0.0,K562,RIC-seq,cis_same_chromosome
K562_EP_0008,chr16,85548387,85639758,K562_SE_284,chr16,85640015,85651958,K562_MPT_5120,ENSG00000131149.13,GSE1,protein_coding,191,0.0,K562,RIC-seq,cis_same_chromosome
K562_EP_0009,chr9,44875058,44880467,K562_TE_21948,chr9,67781277,67799111,K562_MPT_12859,ENSG00000232833.4,FAM27E3,protein_coding,178,1.35e-269,K562,RIC-seq,cis_same_chromosome
K562_EP_0010,chr2,27975011,27989484,K562_TE_11210,chr2,27989584,27999584,K562_MPT_7181,ENSG00000243147.3,MRPL33,protein_coding,168,1.8199999999999997e-250,K562,RIC-seq,cis_same_chromosome
K562_EP_0011,chr6,37391181,37396212,K562_TE_18439,chr6,37395996,37405996,K562_MPT_11058,ENSG00000137200.8,CMTR1,protein_coding,148,1.2300000000000001e-195,K562,RIC-seq,cis_same_chromosome
