Year	PMID	Title	Species	Genome_Build	Chromosome	Start	End	TF	Target_Gene	Type(Enhancer_or_SE)	Regulatory_State(Active/Silenced)	Condition(Disease/Normal)	Disease_Name	MONDO	DOID	Tissue	Tissue Ontology_ID	Cell_Source	CVCL_ID	Cell_Type	Cell Ontology_ID	Experiment_Type	High_Throughput_Method	Low_Throughput_Method
2019	31431624	PAX8 activates metabolic genes via enhancer elements in Renal Cell Carcinoma	Homo sapiens	hg19	chr3	148898000	148901500	PAX8	CP	Enhancer	Active	Disease	Clear cell renal cell carcinoma	MONDO:0005368	DOID:4465	Kidney	UBERON:0002113	769p	CVCL_1050	Renal clear cell carcinoma cell	CL:0002677	Enhancer activity assay, TF binding assay, Chromatin interaction assay, Functional perturbation assay	ChIP-seq, RNA-seq, ATAC-seq, 3C-seq	ChIP-qPCR, CRISPR Knockout, CRISPRi, Luciferase Reporter Assay, qRT-PCR, Western blot
2019	31431624	PAX8 activates metabolic genes via enhancer elements in Renal Cell Carcinoma	Homo sapiens	hg19	chr3	148898000	148901500	PAX8	CP	Enhancer	Active	Disease	Clear cell renal cell carcinoma	MONDO:0005368	DOID:4465	Kidney	UBERON:0002113	786o	CVCL_1051	Renal clear cell carcinoma cell	CL:0002677	Enhancer activity assay, TF binding assay, Chromatin interaction assay, Functional perturbation assay	ChIP-seq, RNA-seq, ATAC-seq, 3C-seq	ChIP-qPCR, CRISPR Knockout, CRISPRi, Luciferase Reporter Assay, qRT-PCR, Western blot
2019	31431624	PAX8 activates metabolic genes via enhancer elements in Renal Cell Carcinoma	Homo sapiens	hg19	chr3	148898000	148901500	PAX8	CP	Enhancer	Active	Disease	Clear cell renal cell carcinoma	MONDO:0005368	DOID:4465	Kidney	UBERON:0002113	VMRC-RCW	CVCL_1790	Renal clear cell carcinoma cell	CL:0002677	Enhancer activity assay, TF binding assay, Chromatin interaction assay, Functional perturbation assay	ChIP-seq, RNA-seq, ATAC-seq, 3C-seq	ChIP-qPCR, CRISPR Knockout, CRISPRi, Luciferase Reporter Assay, qRT-PCR, Western blot
2019	31431624	PAX8 activates metabolic genes via enhancer elements in Renal Cell Carcinoma	Homo sapiens	hg19	chr3	148898000	148901500	PAX8	CP	Enhancer	Active	Disease	Clear cell renal cell carcinoma	MONDO:0005368	DOID:4465	Kidney	UBERON:0002113	CAKI-1	CVCL_0234	Renal clear cell carcinoma cell	CL:0002677	Enhancer activity assay, TF binding assay, Chromatin interaction assay, Functional perturbation assay	ChIP-seq, RNA-seq, ATAC-seq, 3C-seq	ChIP-qPCR, CRISPR Knockout, CRISPRi, Luciferase Reporter Assay, qRT-PCR, Western blot
2026	42024500	Transcription factor cooperativity at a GATA3 tandem DNA sequence determines oncogenic enhancer-mediated activation	Homo sapiens	hg19	chr1	47680000	47681000	GATA3	TAL1	Enhancer	Active	Disease	T-cell acute lymphoblastic leukemia	MONDO:0004947	DOID:0050890	Blood	UBERON:0000178	Jurkat T-ALL Cells	CVCL_0065	T lymphoblast	CL:0002419	Enhancer activity assay, TF binding assay, Chromatin interaction assay, Functional perturbation assay	ATAC-seq, ChIP-seq, RNA-seq	Luciferase Reporter Assay, CRISPR Knockout, ChIP-RT-qPCR, RT-RT-qPCR, 3C-seq
2026	42024500	Transcription factor cooperativity at a GATA3 tandem DNA sequence determines oncogenic enhancer-mediated activation	Homo sapiens	hg19	chr1	47680000	47681000	GATA3	TAL1	Enhancer	Active	Disease	T-cell acute lymphoblastic leukemia	MONDO:0004947	DOID:0050890	Blood	UBERON:0000178	MOLT4 Cells	CVCL_0013	T lymphoblast	CL:0002419	Enhancer activity assay, TF binding assay, Chromatin interaction assay, Functional perturbation assay	ATAC-seq, ChIP-seq, RNA-seq	Luciferase Reporter Assay, CRISPR Knockout, ChIP-RT-qPCR, RT-RT-qPCR, 3C-seq
2026	42024500	Transcription factor cooperativity at a GATA3 tandem DNA sequence determines oncogenic enhancer-mediated activation	Homo sapiens	hg19	chr1	47680000	47681000	GATA3	TAL1	Enhancer	Active	Disease	T-cell acute lymphoblastic leukemia	MONDO:0004947	DOID:0050890	Blood	UBERON:0000178	Jurkat T-ALL	CVCL_0065	Jurkat T-ALL	CL:0002419	Enhancer activity assay, TF binding assay, Chromatin interaction assay, Functional perturbation assay	ATAC-seq, ChIP-seq, RNA-seq	Luciferase Reporter Assay, CRISPR Knockout, ChIP-RT-qPCR, RT-RT-qPCR, 3C-seq
2026	42030388	MYC-bound enhancer RNAs in cis regulate gene transcription and tumorigenesis	Homo sapiens	hg19	chr2	116230440	116232740	MYC	GREB1	Enhancer	Active	Disease	Breast invasive carcinoma	MONDO:0006143	DOID:1612	Mammary gland	UBERON:0001911	MCF-7	CVCL_0031	Estrogen receptor positive breast cancer cell	CL:0000646	Luciferase reporter assay, loss-of-function ASO/shRNA knockdown, ChIP-qPCR, Pol II ChIA-PET chromatin interaction	eCLIP-seq, ChIP-seq, ATAC-seq, RNA-seq, GRO-seq, ChIA-PET, TCGA/CCLE multi-omics	qRT-PCR, dual-luciferase reporter, , RNA FISH super-resolution imaging, subcellular fractionation, xenograft in vivo tumor assay
2026	42030388	MYC-bound enhancer RNAs in cis regulate gene transcription and tumorigenesis	Homo sapiens	hg19	chr2	116230440	116232740	MYC	GREB1	Enhancer	Active	Disease	Breast invasive carcinoma	MONDO:0006143	DOID:1612	Mammary gland	UBERON:0001911	BT474	CVCL_0179	Estrogen receptor positive breast cancer cell	CL:0000646	Luciferase reporter assay, loss-of-function ASO/shRNA knockdown, ChIP-qPCR, Pol II ChIA-PET chromatin interaction	eCLIP-seq, ChIP-seq, ATAC-seq, RNA-seq, GRO-seq, ChIA-PET, TCGA/CCLE multi-omics	qRT-PCR, dual-luciferase reporter, , RNA FISH super-resolution imaging, subcellular fractionation, xenograft in vivo tumor assay
2026	42030388	MYC-bound enhancer RNAs in cis regulate gene transcription and tumorigenesis	Homo sapiens	hg19	chr2	116230440	116232740	P300	GREB1	Enhancer	Active	Disease	Breast invasive carcinoma	MONDO:0006143	DOID:1612	Mammary gland	UBERON:0001911	MCF-7	CVCL_0031	Estrogen receptor positive breast cancer cell	CL:0000646	Luciferase reporter assay, loss-of-function ASO/shRNA knockdown, ChIP-qPCR, Pol II ChIA-PET chromatin interaction	eCLIP-seq, ChIP-seq, ATAC-seq, RNA-seq, GRO-seq, ChIA-PET, TCGA/CCLE multi-omics	qRT-PCR, dual-luciferase reporter, , RNA FISH super-resolution imaging, subcellular fractionation, xenograft in vivo tumor assay
